"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"Zeitraum: 10-2020";
"Filter: Inhalt > Thema > Nachrichten";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"AngebotsschlÃ¼ssel";"Angebot";"Typ";"ausgewiesene Tage";"Kat-Visits";"PIs in gewÃ¤hlten Kategorien gesamt";"PIs in gewÃ¤hlten Kategorien Inland";"PIs Anteil Inland";"PIs in gewÃ¤hlten Kategorien Ausland";
"Allgemeine Zeitung Uelzen Online";"Allgemeine Zeitung Uelzen Online";"Online (http://www.az-online.de)";" 31/31";231.714;513.668;459.572;89 %;54.096;
"Allgemeine Zeitung Uelzen Online";"Allgemeine Zeitung Uelzen mobil";"MEW (http://www.az-online.de/)";" 31/31";636.948;1.054.449;1.027.265;97 %;27.184;
"Alpin.de Mobile";"Alpin.de Mobile";"gesamt";" 31/31";292;332;280;84 %;52;
"Alpin.de Mobile";"Alpin.de Mobile";"MEW (http://www.alpin.de)";" 31/31";292;332;280;84 %;52;
"amicella";"amicella";"gesamt";" 31/31";17.157;26.783;17.275;64 %;9.508;
"amicella";"amicella";"Online (http://www.amicella.de)";" 31/31";17.157;26.783;17.275;64 %;9.508;
"ANTENNE 1";"ANTENNE 1";"gesamt";" 31/31";28.752;40.380;39.992;99 %;388;
"ANTENNE 1";"ANTENNE 1";"Online (http://www.antenne1.de)";" 31/31";28.752;40.380;39.992;99 %;388;
"ANTENNE MÜNSTER";"ANTENNE MÜNSTER";"gesamt";" 31/31";284.504;440.073;433.171;98 %;6.902;
"ANTENNE MÜNSTER";"ANTENNE MÜNSTER";"Online (http://www.antennemuenster.de)";" 31/31";284.504;440.073;433.171;98 %;6.902;
"Antenne Niedersachsen";"Antenne Niedersachsen";"gesamt";" 31/31";155.644;196.692;191.701;97 %;4.991;
"Antenne Niedersachsen";"Antenne Niedersachsen";"Online (http://www.antenne.com)";" 31/31";11.290;18.550;17.896;96 %;654;
"Antenne Niedersachsen";"Antenne Niedersachsen App";"Apps (gesamt)";" 31/31";3.344;4.185;4.021;96 %;164;
"Antenne Niedersachsen";"Antenne Niedersachsen App";"Apps (Smartphone)";" 31/31";3.344;4.185;4.021;96 %;164;
"Antenne Niedersachsen";"Antenne Niedersachsen Mobil";"MEW (http://www.antenne.com)";" 31/31";141.010;173.957;169.784;98 %;4.173;
"ANTENNE THÜRINGEN";"ANTENNE THÜRINGEN";"gesamt";" 31/31";12.270;25.289;24.845;98 %;444;
"ANTENNE THÜRINGEN";"ANTENNE THÜRINGEN";"Online (http://www.antennethueringen.de)";" 31/31";5.312;11.251;11.038;98 %;213;
"ANTENNE THÜRINGEN";"ANTENNE THÜRINGEN Mobil";"MEW (http://mobil.antennethueringen.de/)";" 31/31";6.958;14.038;13.807;98 %;231;
"ANTENNE THÜRINGEN App";"ANTENNE THÜRINGEN App";"gesamt";" 31/31";524;743;734;99 %;9;
"ANTENNE THÜRINGEN App";"ANTENNE THÜRINGEN App";"Apps (gesamt)";" 31/31";524;743;734;99 %;9;
"ANTENNE THÜRINGEN App";"ANTENNE THÜRINGEN App";"Apps (Smartphone)";" 31/31";524;743;734;99 %;9;
"Antenne Unna";"Antenne Unna";"gesamt";" 31/31";145.036;248.980;245.432;99 %;3.548;
"Antenne Unna";"Antenne Unna";"Online (http://antenneunna.de)";" 31/31";145.036;248.980;245.432;99 %;3.548;
"apotheken-umschau.de";"apotheken-umschau.de";"gesamt";" 31/31";5.211;6.758;6.271;93 %;487;
"apotheken-umschau.de";"apotheken-umschau.de";"Online (http://www.apotheken-umschau.de)";" 31/31";3.356;4.498;4.160;92 %;338;
"apotheken-umschau.de";"Apotheken Umschau mobil";"MEW (http://m.apotheken-umschau.de)";" 31/31";1.855;2.260;2.111;93 %;149;
"Arcor.de";"Arcor.de";"gesamt";" 31/31";2.511;3.207;3.135;98 %;72;
"Arcor.de";"Arcor.de";"Online (http://www.arcor.de)";" 31/31";2.503;3.199;3.127;98 %;72;
"Arcor.de";"Arcor mobil";"MEW (http://www.arcor.de)";" 31/31";8;8;8;100 %;---;
"Areamobile.de";"Areamobile.de";"gesamt";" 31/31";7;7;6;86 %;1;
"Areamobile.de";"Areamobile.de";"Online (http://www.areamobile.de)";" 31/31";6;6;5;83 %;1;
"Areamobile.de";"Areamobile Mobil";"MEW (http://www.areamobile.de)";" 31/31";1;1;1;100 %;---;
"AssCompact Website";"AssCompact Website";"gesamt";" 31/31";42;60;59;98 %;1;
"AssCompact Website";"AssCompact Website";"Online (http://www.asscompact.de)";" 31/31";42;60;59;98 %;1;
"Augsburger Allgemeine Online";"Augsburger Allgemeine Online";"gesamt";" 31/31";7.357.641;14.820.551;14.282.285;96 %;538.266;
"Augsburger Allgemeine Online";"Augsburger Allgemeine Online";"Online (http://www.augsburger-allgemeine.de)";" 31/31";2.154.834;6.105.929;5.822.688;95 %;283.241;
"Augsburger Allgemeine Online";"Augsburger Allgemeine Mobil";"MEW (http://www.augsburger-allgemeine.de)";" 31/31";5.202.807;8.714.622;8.459.597;97 %;255.025;
"auto motor und sport";"auto motor und sport";"gesamt";" 31/31";2.317;3.261;2.578;79 %;683;
"auto motor und sport";"auto motor und sport";"Apps (gesamt)";" 31/31";2.317;3.261;2.578;79 %;683;
"auto motor und sport";"auto motor und sport";"Apps (Smartphone)";" 31/31";2.317;3.261;2.578;79 %;683;
"AUTOGAZETTE.DE";"AUTOGAZETTE.DE";"gesamt";" 31/31";1.245;1.979;1.759;89 %;220;
"AUTOGAZETTE.DE";"AUTOGAZETTE.DE";"Online (https://www.autogazette.de)";" 31/31";1.245;1.979;1.759;89 %;220;
"Backnanger Kreiszeitung Online";"Backnanger Kreiszeitung Online";"gesamt";" 31/31";287.339;585.577;539.216;92 %;46.361;
"Backnanger Kreiszeitung Online";"Backnanger Kreiszeitung Online";"Online (http://www.bkz-online.de)";" 31/31";287.339;585.577;539.216;92 %;46.361;
"Badische Zeitung Online";"Badische Zeitung Online";"gesamt";" 31/31";8.375.201;24.016.742;22.694.070;94 %;1.322.672;
"Badische Zeitung Online";"Badische Zeitung Online";"Online (http://www.badische-zeitung.de)";" 31/31";2.557.344;9.336.104;8.678.308;93 %;657.796;
"Badische Zeitung Online";"BZ Smart";"Apps (gesamt)";" 31/31";613.928;2.197.218;2.129.027;97 %;68.191;
"Badische Zeitung Online";"BZ Smart";"Apps (Smartphone)";" 31/31";613.928;2.197.218;2.129.027;97 %;68.191;
"Badische Zeitung Online";"Badische Zeitung Mobil";"MEW (http://m.badische-zeitung.de)";" 31/31";5.203.929;12.483.420;11.886.735;95 %;596.685;
"Bayerisches Landwirtschaftliches Wochenblatt";"Bayerisches Landwirtschaftliches Wochenblatt";"gesamt";" 31/31";2.102;11.764;10.701;91 %;1.063;
"Bayerisches Landwirtschaftliches Wochenblatt";"Bayerisches Landwirtschaftliches Wochenblatt";"Online (http://www.wochenblatt-dlv.de)";" 31/31";1.229;7.949;7.547;95 %;402;
"Bayerisches Landwirtschaftliches Wochenblatt";"BLW mobil";"MEW (https://www.wochenblatt-dlv.de)";" 31/31";873;3.815;3.154;83 %;661;
"BB24.news";"BB24.news";"gesamt";" 31/31";528.115;791.729;769.173;97 %;22.556;
"BB24.news";"BB24.news";"Online (http://www.bb24.news/)";" 31/31";528.115;791.729;769.173;97 %;22.556;
"bbv-net.de";"bbv-net.de";"gesamt";" 31/31";364.974;1.074.227;1.055.124;98 %;19.103;
"bbv-net.de";"bbv-net.de";"Online (http://www.bbv-net.de)";" 31/31";364.974;1.074.227;1.055.124;98 %;19.103;
"Bergsteiger";"Bergsteiger";"gesamt";" 31/31";517;604;571;95 %;33;
"Bergsteiger";"Bergsteiger";"Online (http://www.bergsteiger.de)";" 31/31";517;604;571;95 %;33;
"Berlin.de";"Berlin.de";"gesamt";" 31/31";26.836;54.809;48.939;89 %;5.870;
"Berlin.de";"Berlin.de";"Online (http://www.berlin.de)";" 31/31";15.958;36.053;32.281;90 %;3.772;
"Berlin.de";"Berlin.de Mobil";"MEW (http://www.berlin.de)";" 31/31";10.878;18.756;16.658;89 %;2.098;
"Berliner Morgenpost";"Berliner Morgenpost";"gesamt";" 31/31";7.243.005;11.634.169;11.083.332;95 %;550.837;
"Berliner Morgenpost";"Berliner Morgenpost";"Online (http://www.morgenpost.de)";" 31/31";1.835.081;2.878.427;2.655.429;92 %;222.998;
"Berliner Morgenpost";"Morgenpost Mobil";"MEW (http://mobil.morgenpost.de)";" 31/31";5.407.924;8.755.742;8.427.903;96 %;327.839;
"bigFM";"bigFM";"gesamt";" 31/31";19.767;30.653;27.337;89 %;3.316;
"bigFM";"bigFM";"Online (http://www.bigfm.de)";" 31/31";4.917;8.566;7.383;86 %;1.183;
"bigFM";"bigFM Radio";"Apps (gesamt)";" 31/31";1.031;1.274;1.203;94 %;71;
"bigFM";"bigFM Radio";"Apps (Smartphone)";" 31/31";1.031;1.274;1.203;94 %;71;
"bigFM";"bigFM Mobile";"MEW (http://www.bigfm.de)";" 31/31";13.819;20.813;18.751;90 %;2.062;
"Bild der Frau";"Bild der Frau";"gesamt";" 31/31";66.165;107.915;93.259;86 %;14.656;
"Bild der Frau";"Bild der Frau";"Online (http://www.bildderfrau.de)";" 31/31";23.594;45.629;38.767;85 %;6.862;
"Bild der Frau";"Bild der Frau Mobil";"MEW (http://bildderfrau.de)";" 31/31";42.571;62.286;54.492;87 %;7.794;
"Bild.de";"Bild.de";"gesamt";" 31/31";373.585.265;937.711.750;874.122.813;93 %;63.588.937;
"Bild.de";"Bild.de";"Online (http://www.bild.de)";" 31/31";119.208.475;291.206.659;264.143.880;91 %;27.062.779;
"Bild.de";"BILD";"Apps (gesamt)";" 31/31";38.811.415;202.437.510;193.957.025;96 %;8.480.485;
"Bild.de";"BILD";"Apps (Smartphone)";" 31/31";34.615.091;175.143.331;168.072.895;96 %;7.070.436;
"Bild.de";"BILD";"Apps (Tablet)";" 31/31";4.196.324;27.294.179;25.884.130;95 %;1.410.049;
"Bild.de";"Sport BILD App";"Apps (gesamt)";" 31/31";388;577;544;94 %;33;
"Bild.de";"Sport BILD App";"Apps (Smartphone)";" 31/31";388;577;544;94 %;33;
"Bild.de";"Bild.de mobil";"MEW (http://m.bild.de)";" 31/31";215.564.987;444.067.004;416.021.364;94 %;28.045.640;
"Börse Frankfurt";"Börse Frankfurt";"gesamt";" 31/31";15.746;41.492;36.619;88 %;4.873;
"Börse Frankfurt";"Börse Frankfurt";"Online (http://boerse-frankfurt.de)";" 31/31";15.746;41.492;36.619;88 %;4.873;
"boersenblatt.net";"boersenblatt.net";"gesamt";" 31/31";365;433;364;84 %;69;
"boersenblatt.net";"boersenblatt.net";"Online (http://www.boersenblatt.net)";" 31/31";282;332;269;81 %;63;
"boersenblatt.net";"boersenblatt.net mobil";"MEW (http://m.boersenblatt.net)";" 31/31";83;101;95;94 %;6;
"boote-magazin.de";"boote-magazin.de";"gesamt";" 31/31";27;32;23;72 %;9;
"boote-magazin.de";"boote-magazin.de";"Online (http://www.boote-magazin.de)";" 31/31";27;32;23;72 %;9;
"Borkener Zeitung";"Borkener Zeitung";"gesamt";" 31/31";450.770;1.078.747;1.051.695;97 %;27.052;
"Borkener Zeitung";"Borkener Zeitung";"Online (http://www.borkenerzeitung.de)";" 31/31";450.770;1.078.747;1.051.695;97 %;27.052;
"Braunschweiger Zeitung";"Braunschweiger Zeitung";"gesamt";" 31/31";9.226.343;14.091.839;13.565.737;96 %;526.102;
"Braunschweiger Zeitung";"Braunschweiger Zeitung";"Online (http://www.braunschweiger-zeitung.de)";" 31/31";1.200.000;2.516.335;2.387.913;95 %;128.422;
"Braunschweiger Zeitung";"Braunschweiger Zeitung Mobil";"MEW (http://m.braunschweiger-zeitung.de)";" 31/31";8.026.343;11.575.504;11.177.824;97 %;397.680;
"Brigitte.de";"Brigitte.de";"gesamt";" 31/31";84.147;235.184;199.560;85 %;35.624;
"Brigitte.de";"Brigitte.de";"Online (http://www.brigitte.de)";" 31/31";46.144;115.281;93.595;81 %;21.686;
"Brigitte.de";"Brigitte.de";"Apps (gesamt)";" 31/31";37.959;119.857;105.927;88 %;13.930;
"Brigitte.de";"Brigitte.de";"Apps (Smartphone)";" 31/31";37.959;119.857;105.927;88 %;13.930;
"Brigitte.de";"Brigitte Mobil";"MEW (http://m.brigitte.de)";" 31/31";44;46;38;83 %;8;
"BUNTE.de App";"BUNTE.de App";"gesamt";" 31/31";270.248;313.735;265.137;85 %;48.598;
"BUNTE.de App";"BUNTE.de App";"Apps (gesamt)";" 31/31";1;1;1;100 %;---;
"BUNTE.de App";"BUNTE.de App";"Apps (Smartphone)";" 31/31";1;1;1;100 %;---;
"BUNTE.de App";"BUNTE.de mobil";"MEW (http://mobil.bunte.de)";" 31/31";270.247;313.734;265.136;85 %;48.598;
"Business Insider Deutschland";"Business Insider Deutschland";"gesamt";" 31/31";1.655.561;2.547.499;2.261.618;89 %;285.881;
"Business Insider Deutschland";"Business Insider Deutschland";"Online (http://businessinsider.de/)";" 31/31";284.563;660.779;557.040;84 %;103.739;
"Business Insider Deutschland";"Businessinsider mobil";"MEW (http://www.businessinsider.de)";" 31/31";1.370.998;1.886.720;1.704.578;90 %;182.142;
"business&more";"business&more";"gesamt";" 31/31";9.343;11.484;9.224;80 %;2.260;
"business&more";"business&more";"Online (http://www.businessandmore.de)";" 31/31";9.343;11.484;9.224;80 %;2.260;
"BZ-Berlin";"BZ-Berlin";"gesamt";" 31/31";8.184.875;16.310.275;15.702.185;96 %;608.090;
"BZ-Berlin";"BZ-Berlin";"Online (http://www.bz-berlin.de)";" 31/31";3.338.097;7.371.974;7.000.217;95 %;371.757;
"BZ-Berlin";"BerlinRadar";"Apps (gesamt)";" 31/31";10.621;38.917;37.431;96 %;1.486;
"BZ-Berlin";"BerlinRadar";"Apps (Smartphone)";" 31/31";10.621;38.917;37.431;96 %;1.486;
"BZ-Berlin";"bz-berlin.de";"MEW (http://bz-berlin.de)";" 31/31";4.836.157;8.899.384;8.664.537;97 %;234.847;
"Cellesche Zeitung";"Cellesche Zeitung";"gesamt";" 31/31";734.922;1.109.189;1.077.623;97 %;31.566;
"Cellesche Zeitung";"Cellesche Zeitung";"Online (http://www.cellesche-zeitung.de/)";" 31/31";176.246;315.345;300.419;95 %;14.926;
"Cellesche Zeitung";"Cellesche Zeitung mobile";"MEW (http://m.cellesche-zeitung.de/)";" 31/31";558.676;793.844;777.204;98 %;16.640;
"CHIP Online";"CHIP Online";"gesamt";" 31/31";480.864;501.944;489.178;97 %;12.766;
"CHIP Online";"CHIP Online";"Online (http://www.chip.de)";" 31/31";34.542;37.718;34.935;93 %;2.783;
"CHIP Online";"CHIP Online Mobil";"MEW (http://m.chip.de)";" 31/31";446.322;464.226;454.243;98 %;9.983;
"choices.de";"choices.de";"gesamt";" 31/31";2.588;4.580;4.194;92 %;386;
"choices.de";"choices.de";"Online (http://www.choices.de)";" 31/31";2.588;4.580;4.194;92 %;386;
"CIO";"CIO";"gesamt";" 31/31";13.909;16.827;14.664;87 %;2.163;
"CIO";"CIO";"Online (http://www.cio.de)";" 31/31";19;25;2;8 %;23;
"CIO";"CIO Mobil";"MEW (http://www.cio.de/mobile/webapp/)";" 31/31";13.890;16.802;14.662;87 %;2.140;
"Connect";"Connect";"gesamt";" 31/31";300;321;282;88 %;39;
"Connect";"Connect";"Online (http://www.connect.de)";" 31/31";151;162;144;89 %;18;
"Connect";"Connect Mobil";"MEW (http://www.connect.de)";" 31/31";149;159;138;87 %;21;
"Dailyme.tv";"Dailyme.tv";"gesamt";" 31/31";20.531;170.836;159.626;93 %;11.210;
"Dailyme.tv";"Dailyme.tv";"Apps (gesamt)";" 31/31";20.531;170.836;159.626;93 %;11.210;
"Dailyme.tv";"Dailyme.tv";"Apps (Smartphone)";" 31/31";20.531;170.836;159.626;93 %;11.210;
"DAZ.online Deutsche Apotheker Zeitung";"DAZ.online Deutsche Apotheker Zeitung";"gesamt";" 31/31";160.954;229.680;212.336;92 %;17.344;
"DAZ.online Deutsche Apotheker Zeitung";"DAZ.online Deutsche Apotheker Zeitung";"Online (http://www.deutsche-apotheker-zeitung.de)";" 31/31";160.954;229.680;212.336;92 %;17.344;
"der Freitag";"der Freitag";"gesamt";" 31/31";288.471;455.994;393.952;86 %;62.042;
"der Freitag";"der Freitag";"Online (http://www.freitag.de)";" 31/31";288.471;455.994;393.952;86 %;62.042;
"Der Patriot online";"Der Patriot online";"gesamt";" 31/31";245.518;1.557.276;1.530.866;98 %;26.410;
"Der Patriot online";"Der Patriot online";"Online (http://www.derpatriot.de)";" 31/31";245.518;1.557.276;1.530.866;98 %;26.410;
"DER SPIEGEL";"DER SPIEGEL";"gesamt";" 31/31";126.692.122;198.813.085;180.216.611;91 %;18.596.474;
"DER SPIEGEL";"DER SPIEGEL";"Online (http://www.spiegel.de)";" 31/31";24.701.763;38.810.269;33.632.154;87 %;5.178.115;
"DER SPIEGEL";"DER SPIEGEL";"Apps (gesamt)";" 31/31";37.789.953;77.719.647;70.740.701;91 %;6.978.946;
"DER SPIEGEL";"DER SPIEGEL";"Apps (Smartphone)";" 31/31";37.789.953;77.719.647;70.740.701;91 %;6.978.946;
"DER SPIEGEL";"DER SPIEGEL mobil";"MEW (https://www.spiegel.de)";" 31/31";64.200.406;82.283.169;75.843.756;92 %;6.439.413;
"Der Teckbote online";"Der Teckbote online";"gesamt";" 31/31";261.134;459.627;440.938;96 %;18.689;
"Der Teckbote online";"Der Teckbote online";"Online (http://www.teckbote.de)";" 31/31";261.134;459.627;440.938;96 %;18.689;
"Deutsche Handwerks Zeitung";"Deutsche Handwerks Zeitung";"gesamt";" 31/31";5.859;6.839;6.572;96 %;267;
"Deutsche Handwerks Zeitung";"Deutsche Handwerks Zeitung";"Online (http://www.deutsche-handwerks-zeitung.de)";" 31/31";1.027;1.233;1.145;93 %;88;
"Deutsche Handwerks Zeitung";"Deutsche Handwerks Zeitung mobile";"MEW (https://www.deutsche-handwerks-zeitung.de/)";" 31/31";4.832;5.606;5.427;97 %;179;
"Deutscher Alpenverein e.V.";"Deutscher Alpenverein e.V.";"gesamt";" 31/31";202.017;973.692;904.597;93 %;69.095;
"Deutscher Alpenverein e.V.";"Deutscher Alpenverein e.V.";"Online (http://www.alpenverein.de)";" 31/31";93.506;445.383;413.388;93 %;31.995;
"Deutscher Alpenverein e.V.";"Deutscher Alpenverein mobil";"MEW (http://www.alpenverein.de/)";" 31/31";108.511;528.309;491.209;93 %;37.100;
"Deutsches Ärzteblatt - online";"Deutsches Ärzteblatt - online";"gesamt";" 31/31";2.823.300;3.810.412;3.438.917;90 %;371.495;
"Deutsches Ärzteblatt - online";"Deutsches Ärzteblatt - online";"Online (http://www.aerzteblatt.de)";" 31/31";2.749.634;3.605.110;3.248.574;90 %;356.536;
"Deutsches Ärzteblatt - online";"Deutsches Ärzteblatt App";"Apps (gesamt)";" 31/31";73.666;205.302;190.343;93 %;14.959;
"Deutsches Ärzteblatt - online";"Deutsches Ärzteblatt App";"Apps (Smartphone)";" 31/31";73.666;205.302;190.343;93 %;14.959;
"Deutsches Handwerksblatt";"Deutsches Handwerksblatt";"gesamt";" 31/31";7.068;8.008;7.534;94 %;474;
"Deutsches Handwerksblatt";"Deutsches Handwerksblatt";"Online (http://www.handwerksblatt.de)";" 31/31";2.981;3.445;3.083;89 %;362;
"Deutsches Handwerksblatt";"Deutsches Handwerksblatt";"MEW (http://handwerksblatt.de)";" 31/31";4.087;4.563;4.451;98 %;112;
"DeutschesApothekenPortal";"DeutschesApothekenPortal";"gesamt";" 31/31";51.408;68.919;67.945;99 %;974;
"DeutschesApothekenPortal";"DeutschesApothekenPortal";"Online (http://www.deutschesapothekenportal.de)";" 31/31";51.408;68.919;67.945;99 %;974;
"DEWEZET.de";"DEWEZET.de";"gesamt";" 31/31";685.830;1.154.672;1.100.291;95 %;54.381;
"DEWEZET.de";"DEWEZET.de";"Online (http://www.dewezet.de)";" 31/31";685.830;1.154.672;1.100.291;95 %;54.381;
"Die Glocke";"Die Glocke";"gesamt";" 31/31";560.953;1.090.925;1.055.470;97 %;35.455;
"Die Glocke";"Die Glocke";"Online (http://www.die-glocke.de)";" 31/31";560.953;1.090.925;1.055.470;97 %;35.455;
"DIE RHEINPFALZ";"DIE RHEINPFALZ";"gesamt";" 31/31";5.729.420;9.437.255;9.215.620;98 %;221.635;
"DIE RHEINPFALZ";"DIE RHEINPFALZ";"Online (http://www.rheinpfalz.de)";" 31/31";5.729.420;9.437.255;9.215.620;98 %;221.635;
"DigiTV News";"DigiTV News";"gesamt";" 31/31";2.795;5.388;5.168;96 %;220;
"DigiTV News";"DigiTV News";"Apps (gesamt)";" 31/31";2.795;5.388;5.168;96 %;220;
